,AccountNo,BetDate,ClassId,CategoryId,Source,BetCount,Bet_Amt,Win_Amt,Product,AccountNo_[0],Bet_Amt_[0],Vegas,Sportsbook,Games,Casino,Poker,Bingo,#N/A,Adjustments,CustId,CurrencyCode,DailyDepositLimit,StakeScale,SourceProd,AccountLocation,Title,FirstName,LastName,CreateDate,CountryCode,Language,Status,DateOfBirth,Contact,CustomerGroup,CLASSID,CATEGORYID,product,sub_product,description,bet_or_play
12,00357DG   ,15/11/2012,22512_XFER,22512,I,1152,12133.0,11300.9,Vegas,00357DG   ,12133.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
13,00357DG   ,28/11/2012,22512_XFER,22512,I,507,11614.0,8729.6,Vegas,00357DG   ,11614.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
14,00357DG   ,05/12/2012,22512_XFER,22512,I,557,11176.0,9751.6,Vegas,00357DG   ,11176.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
15,01196ZZ   ,15/12/2012,22512_XFER,22512,I,167,10896.0,10410.0,Vegas,01196ZZ   ,10896.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
16,01284UW   ,01/11/2012,46,5,I,34,10674.28,12210.0,Sportsbook,01284UW   ,10674.28,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,46,5,Sportsbook,Football,European Major Leagues,1
17,01196ZZ   ,28/11/2012,22512_XFER,22512,I,106,10011.0,8736.0,Vegas,01196ZZ   ,10011.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
18,01148BP   ,17/09/2012,2,9,I,30,9800.0,8200.0,Sportsbook,01148BP   ,9800.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
19,01148BP   ,17/11/2012,2,9,I,28,9252.5,15353.75,Sportsbook,01148BP   ,9252.5,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
20,00357DG   ,14/11/2012,22512_XFER,22512,I,1201,9154.2,7138.3,Vegas,00357DG   ,9154.2,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
21,01148BP   ,09/10/2012,2,9,I,33,9108.33,14245.83,Sportsbook,01148BP   ,9108.33,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
22,01196ZZ   ,08/12/2012,22512_XFER,22512,I,90,8815.5,8595.0,Vegas,01196ZZ   ,8815.5,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
23,00357DG   ,23/11/2012,22512_XFER,22512,I,998,8534.0,7082.0,Vegas,00357DG   ,8534.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
24,00357DG   ,12/11/2012,613,0,I,988,8472.6,8829.2,Games,00357DG   ,8472.6,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,613,0,Games,Games tbc,Games tbc,1
25,01148BP   ,10/12/2012,2,9,I,22,7687.5,6587.5,Sportsbook,01148BP   ,7687.5,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
26,01148BP   ,18/10/2012,2,9,I,17,7625.0,4925.0,Sportsbook,01148BP   ,7625.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
27,01148BP   ,07/11/2012,2,9,I,18,7493.75,1593.75,Sportsbook,01148BP   ,7493.75,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
28,00497XG   ,27/12/2012,601,0,I,1190,7450.2,6870.91,Games,00497XG   ,7450.2,,,,,,,,,4188499,GBP,0,1.0,SB,GIB,Mr,Elvis,Presley,01/11/2011,US,en,A,18/10/1948,Y,Bronze,601,0,Games,Games tbc,Games tbc,1
29,01148BP   ,21/10/2012,2,9,I,17,7450.0,2150.0,Sportsbook,01148BP   ,7450.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
30,01284UW   ,11/10/2012,36,5,I,8,7150.0,0.0,Sportsbook,01284UW   ,7150.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,36,5,Sportsbook,Football,International Football,1
31,00357DG   ,19/11/2012,22512_XFER,22512,I,1007,6918.0,3831.35,Vegas,00357DG   ,6918.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
32,01284UW   ,14/10/2012,274,5,I,9,6550.0,6453.33,Sportsbook,01284UW   ,6550.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,274,5,Sportsbook,Football,Other League Football,1
33,00357DG   ,12/11/2012,22512_XFER,22512,I,1042,6538.0,5236.3,Vegas,00357DG   ,6538.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
34,00357DG   ,20/11/2012,22512_XFER,22512,I,711,6529.0,3679.25,Vegas,00357DG   ,6529.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
35,01148BP   ,24/10/2012,2,9,I,18,6015.63,8737.52,Sportsbook,01148BP   ,6015.63,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
36,01148BP   ,02/10/2012,2,9,I,20,5915.65,5203.15,Sportsbook,01148BP   ,5915.65,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
37,01148BP   ,28/09/2012,2,9,I,19,5887.5,7300.0,Sportsbook,01148BP   ,5887.5,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
38,01148BP   ,17/10/2012,2,9,I,19,5800.0,6605.0,Sportsbook,01148BP   ,5800.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
39,01148BP   ,27/11/2012,22512_XFER,22512,I,68,5760.0,6030.0,Vegas,01148BP   ,5760.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
40,00357DG   ,08/11/2012,22512_XFER,22512,I,1482,5652.4,3412.6,Vegas,00357DG   ,5652.4,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
41,01148BP   ,05/12/2012,2,9,I,17,5600.0,4200.0,Sportsbook,01148BP   ,5600.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
42,01148BP   ,16/09/2012,2,9,I,21,5560.18,5726.25,Sportsbook,01148BP   ,5560.18,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
43,01152SJ   ,01/12/2012,22528_PRCH,22528,I,3,5451.3013,0.0,Casino,01152SJ   ,5451.3013,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
44,01148BP   ,01/12/2012,2,9,I,15,5350.0,7350.0,Sportsbook,01148BP   ,5350.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
45,01148BP   ,09/12/2012,2,9,I,14,5293.75,5393.75,Sportsbook,01148BP   ,5293.75,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
46,01284UW   ,31/10/2012,1,5,I,35,5290.0,5720.0,Sportsbook,01284UW   ,5290.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,1,5,Sportsbook,Football,UK Football,1
47,01148BP   ,20/09/2012,2,9,I,17,5250.0,5550.0,Sportsbook,01148BP   ,5250.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
48,01148BP   ,25/10/2012,2,9,I,16,5219.59,6857.42,Sportsbook,01148BP   ,5219.59,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
49,00357DG   ,29/11/2012,22512_XFER,22512,I,323,5018.0,2367.3,Vegas,00357DG   ,5018.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
50,01148BP   ,03/10/2012,2,9,I,21,4987.5,1975.0,Sportsbook,01148BP   ,4987.5,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
51,01196ZZ   ,20/10/2012,3,8,I,25,4585.0,3448.75,Sportsbook,01196ZZ   ,4585.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,3,8,Sportsbook,Greyhounds,Greyhounds - Live,1
52,01148BP   ,19/11/2012,2,9,I,15,4491.15,4925.0,Sportsbook,01148BP   ,4491.15,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
53,01148BP   ,06/11/2012,2,9,I,11,4462.5,6487.5,Sportsbook,01148BP   ,4462.5,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
54,01148BP   ,14/09/2012,2,9,I,17,4460.0,9228.13,Sportsbook,01148BP   ,4460.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
55,01148BP   ,01/11/2012,2,9,I,10,4390.0,840.0,Sportsbook,01148BP   ,4390.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
56,01148BP   ,20/11/2012,2,9,I,11,4300.0,1550.0,Sportsbook,01148BP   ,4300.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
57,01196ZZ   ,29/09/2012,2,9,I,20,4290.0,1825.0,Sportsbook,01196ZZ   ,4290.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
58,01196ZZ   ,13/12/2012,22512_XFER,22512,I,39,4265.0,5940.0,Vegas,01196ZZ   ,4265.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
59,01148BP   ,11/12/2012,2,9,I,11,4240.0,1840.0,Sportsbook,01148BP   ,4240.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
60,01148BP   ,02/11/2012,2,9,I,8,4237.5,5387.5,Sportsbook,01148BP   ,4237.5,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
61,01152SJ   ,17/10/2012,22527_PRCH,22527,I,6,4234.6494,0.0,Poker,01152SJ   ,4234.6494,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
62,00357DG   ,06/11/2012,22512_XFER,22512,I,1056,4113.0,3992.2,Vegas,00357DG   ,4113.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
63,01148BP   ,16/11/2012,2,9,I,11,4106.25,6156.25,Sportsbook,01148BP   ,4106.25,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
64,01148BP   ,26/10/2012,2,9,I,12,4062.5,3187.5,Sportsbook,01148BP   ,4062.5,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
65,00497XG   ,24/12/2012,638,0,I,1797,4031.29,3325.75,Games,00497XG   ,4031.29,,,,,,,,,4188499,GBP,0,1.0,SB,GIB,Mr,Elvis,Presley,01/11/2011,US,en,A,18/10/1948,Y,Bronze,638,0,Games,Games tbc,Games tbc,1
66,01148BP   ,08/11/2012,2,9,I,14,4020.31,4564.06,Sportsbook,01148BP   ,4020.31,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
67,00497XG   ,25/12/2012,638,0,I,1198,3938.31,2457.3,Games,00497XG   ,3938.31,,,,,,,,,4188499,GBP,0,1.0,SB,GIB,Mr,Elvis,Presley,01/11/2011,US,en,A,18/10/1948,Y,Bronze,638,0,Games,Games tbc,Games tbc,1
68,01148BP   ,11/09/2012,2,9,I,15,3825.0,4625.0,Sportsbook,01148BP   ,3825.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
69,01148BP   ,27/10/2012,2,9,I,14,3802.5,3302.5,Sportsbook,01148BP   ,3802.5,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
70,01148BP   ,19/10/2012,2,9,I,9,3800.0,7237.5,Sportsbook,01148BP   ,3800.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
71,01284UW   ,20/10/2012,1,5,I,7,3780.0,0.0,Sportsbook,01284UW   ,3780.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,1,5,Sportsbook,Football,UK Football,1
72,01148BP   ,23/11/2012,2,9,I,10,3681.25,5431.25,Sportsbook,01148BP   ,3681.25,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
73,01196ZZ   ,23/12/2012,22512_XFER,22512,I,38,3660.0,3510.0,Vegas,01196ZZ   ,3660.0,,,,,,,,,3042166,EUR,0,8.0,SB,GIB,Mr,Keith,Moon,11/01/2011,UK ,en,A,26/07/1970,Y,Gold,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
74,01148BP   ,09/11/2012,2,9,I,10,3643.75,2800.0,Sportsbook,01148BP   ,3643.75,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
75,01148BP   ,27/09/2012,2,9,I,12,3638.0,6000.0,Sportsbook,01148BP   ,3638.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
76,01148BP   ,10/10/2012,2,9,I,10,3595.45,1495.45,Sportsbook,01148BP   ,3595.45,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
77,01284UW   ,10/10/2012,36,5,I,9,3550.0,0.0,Sportsbook,01284UW   ,3550.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,36,5,Sportsbook,Football,International Football,1
78,01152SJ   ,03/12/2012,22528_PRCH,22528,I,2,3497.377,0.0,Casino,01152SJ   ,3497.377,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22528_PRCH,22528,Casino,Casino Playtech CashIn,Casino Playtech,1
79,01148BP   ,01/09/2012,2,9,N,6,3470.0,1320.0,Sportsbook,01148BP   ,3470.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
80,01152SJ   ,01/12/2012,22527_PRCH,22527,I,2,3370.3864,0.0,Poker,01152SJ   ,3370.3864,,,,,,,,,1965214,USD,0,1.0,PO,GIB,Mr,Sidney,Vicious,18/12/2009,UK ,en,A,12/08/1976,N,Bronze,22527_PRCH,22527,Poker,Poker Playtech CashIn,Poker Playtech,1
81,01284UW   ,31/10/2012,46,5,I,36,3315.0,960.0,Sportsbook,01284UW   ,3315.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,46,5,Sportsbook,Football,European Major Leagues,1
82,00357DG   ,22/11/2012,22512_XFER,22512,I,340,3310.0,2005.0,Vegas,00357DG   ,3310.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
83,00497XG   ,27/12/2012,638,0,I,1230,3295.93,2748.83,Games,00497XG   ,3295.93,,,,,,,,,4188499,GBP,0,1.0,SB,GIB,Mr,Elvis,Presley,01/11/2011,US,en,A,18/10/1948,Y,Bronze,638,0,Games,Games tbc,Games tbc,1
84,01148BP   ,12/12/2012,2,9,I,11,3275.0,2275.0,Sportsbook,01148BP   ,3275.0,,,,,,,,,1569944,GBP,0,8.0,XX,GIB,Miss,Janice,Joplin,09/04/2009,US,en,A,22/08/1954,Y,Gold,2,9,Sportsbook,Horse Racing,Horse Racing - Live,1
85,00357DG   ,10/11/2012,22512_XFER,22512,I,826,3192.0,2335.0,Vegas,00357DG   ,3192.0,,,,,,,,,3531845,GBP,0,1.0,GM,GIB,Mr,Bon,Scott,02/04/2011,AU,en,A,22/10/1975,N,Silver,22512_XFER,22512,Vegas,Vegas,Vegas Transfers,1
86,01284UW   ,12/10/2012,36,5,I,12,3180.0,25348.33,Sportsbook,01284UW   ,3180.0,,,,,,,,,5694730,GBP,0,1.0,SB,GIB,Mr,James,Hendrix,10/10/2012,US,en,A,05/04/1976,N,Bronze,36,5,Sportsbook,Football,International Football,1
